alpha,MI(L=152),MI(L=200),MI(L=400)
0.95,0.0375343296971568,0.0378509354854946,0.0386095620085685
0.9525,0.0371660672271679,0.037456819402128,0.0381506738727237
0.955,0.0368003013490792,0.0370654526587136,0.0376954032144756
0.9575,0.0364370816474743,0.0366768588684895,0.0372437463947118
0.96,0.0360762675720618,0.0362910689202935,0.0367957047526754
0.9625,0.0357178448156941,0.0359080373928968,0.0363512811422277
0.965,0.0353619401075776,0.0355277462985466,0.0359104680476032
0.9675,0.0350085300003219,0.0351502469785278,0.0354732655333038
0.97,0.0346574909342988,0.0347755301144805,0.0350396765162805
0.9725,0.0343088674709586,0.0344035383537648,0.0346096910503996
0.975,0.0339627732228392,0.034034297002233,0.0341833085262702
0.9775,0.0336191386880754,0.0336678486662458,0.0337605295569267
0.98,0.0332778425429271,0.0333041432143348,0.033341344592898
0.9825,0.0329389587505806,0.0329431438271124,0.0329257515726062
0.985,0.0326026070598175,0.0325849072395159,0.0325137468665694
0.9875,0.0322687056107521,0.0322294440134907,0.0321053234746006
0.99,0.0319371174117606,0.0318766814706516,0.0317004785469223
0.9925,0.0316079062159101,0.0315266171294846,0.0312992017916177
0.995,0.03128121186979,0.031179318104386,0.0309014891419138
0.9975,0.0309569790720877,0.0308347599580222,0.0305073400716197
1,0.0306350544610419,0.0304928654563232,0.030116735671993
1.0025,0.0303154572298289,0.030153662177408,0.0297296716944541
1.005,0.0299983286345035,0.0298172142527547,0.0293461543743563
1.0075,0.0296836707099183,0.0294834714235961,0.0289661577334085
1.01,0.0293713435347152,0.0291523611564656,0.0285896708613061
1.0125,0.0290613056647309,0.028823927334988,0.0282167088437553
1.015,0.0287536634603041,0.0284982282121161,0.0278472456762333
1.0175,0.0284484701346964,0.0281752028811501,0.0274812569515515
1.02,0.0281456371969123,0.0278547804960078,0.0271187624940634
1.0225,0.0278450879460459,0.0275370096086865,0.0267597464063634
1.025,0.0275468676955953,0.0272219449309485,0.026404170205526
1.0275,0.0272510404856518,0.0269095260394109,0.02605204751473
1.03,0.0269575745957128,0.0265996835808156,0.0257033791002134
1.0325,0.0266664036056662,0.0262924569884619,0.0253581207387523
1.035,0.0263775287231066,0.0259879012274389,0.0250162690324926
1.0375,0.0260909887427238,0.0256859661710178,0.0246778378810685
1.04,0.0258067761596072,0.0253865811420709,0.0243427905856762
1.0425,0.0255248489132576,0.0250897710702473,0.0240111038669805
1.045,0.0252452002501438,0.0247955890472218,0.0236827931750354
1.0475,0.0249678543665023,0.0245040021867301,0.0233578378563372
1.05,0.0246928018067384,0.0242149390317589,0.0230362013443646
