gamma,MI(L=152),MI(L=200),MI(L=400)
0.01,0.0862143732971482,0.0904041133711536,0.100623004240462
0.012,0.0836459495532277,0.0873445533259166,0.0961467389091882
0.014,0.0809717086856938,0.084212612974769,0.0917583531664377
0.016,0.0782640347635891,0.0810898301365021,0.0875430011709535
0.018,0.0755746525107587,0.0780301220458802,0.0835424092300978
0.02,0.072938777968816,0.0750670182200132,0.0797721229425576
0.022,0.0703791970739204,0.0722197543658339,0.0762326064863421
0.024,0.0679096950447031,0.0694978875431068,0.0729160585757688
0.026,0.0655377173233282,0.0669046001647468,0.0698104862168427
0.028,0.0632663443672324,0.0644389875514893,0.0669020915747928
0.03,0.0610957152972165,0.0620976124363263,0.0641766404740303
0.032,0.0590240360895181,0.0598755424393421,0.0616202224731728
0.034,0.0570482828397095,0.05776703896281,0.0592196494785289
0.036,0.0551646915789566,0.0557660080290334,0.0569626418055896
0.038,0.0533690956034702,0.0538662892323834,0.0548378893394166
0.04,0.0516571543506247,0.0520618384711159,0.052835043530723
0.042,0.0500245079309796,0.0503468337402723,0.0509446733517428
0.044,0.0484668735939783,0.0487157354321173,0.0491582049669387
0.046,0.0469801011185646,0.0471633163116996,0.0474678507275414
0.048,0.0455602143005482,0.0456846807386651,0.0458665347550195
0.05,0.0442034363308204,0.0442752611149058,0.0443478248430072
0.052,0.0429062069574584,0.0429308029000366,0.042905871432634
0.054,0.0416651719589114,0.0416473449742566,0.0415353485597702
0.056,0.040477176211204,0.0404212107018918,0.0402313959545655
0.058,0.0393392594761627,0.0392489925546483,0.0389895750995349
0.06,0.0382486595909194,0.0381275266423678,0.037805827894901
0.062,0.0372027936375192,0.0370538671887349,0.036676433577477
0.064,0.0361992346575944,0.0360252876370465,0.035597977387326
0.066,0.0352357191324079,0.0350392534201939,0.0345673225869193
0.068,0.0343101394016834,0.0340934009835593,0.0335815780577319
0.07,0.0334205066578628,0.0331855383393471,0.0326380799577743
0.072,0.0325649718954911,0.0323136196046776,0.0317343664689855
0.074,0.0317418019439681,0.0314757366166303,0.0308681611361497
0.076,0.0309493662719942,0.0306701132964807,0.0300373541916632
0.078,0.0301861473478917,0.0298950845698893,0.0292399897387581
0.08,0.0294507088782997,0.0291491000784909,0.0284742489876386
0.082,0.0287417139841432,0.0284307029617314,0.0277384414696952
0.084,0.0280578967373011,0.0277385337154129,0.0270309920452403
0.086,0.0273980756062587,0.027071314154496,0.0263504313247562
0.088,0.0267611306109125,0.0264278465255697,0.025695387910605
0.09,0.0261460147901414,0.0258070056991623,0.0250645794991202
0.092,0.025551734615551,0.0252077327072351,0.0244568056969975
0.094,0.0249773588294196,0.0246290333308892,0.0238709423278007
0.096,0.024422004019595,0.0240699687104901,0.0233059348408791
0.098,0.0238848393159382,0.0235296561619106,0.022760793022247
0.1,0.0233650771789388,0.023007261832741,0.0222345864617456
