1/alpha,b,error
0.6,-0.012944377,0.007368348
0.7,-0.079006282,0.005356727
0.8,-0.094733539,0.00099309
0.9,-0.050542,0.000825929
1,0.008710001,0.001153348
1.1,0.055856827,0.001571559
1.2,0.086750971,0.002407071
1.3,0.104870845,0.003447015
1.4,0.114246369,0.004509106
1.5,0.117989335,0.005476173
1.6,0.118252296,0.006299487
1.7,0.116424379,0.006945573
1.8,0.113436994,0.007441128
1.9,0.109864195,0.007803702
2,0.106052625,0.00805233
2.1,0.102225161,0.008214952
2.2,0.098500535,0.008314003
2.3,0.094944227,0.008358032
2.4,0.091593625,0.008363048
2.5,0.088456308,0.008343265
2.6,0.085537172,0.008302437
2.7,0.082821264,0.008245335
2.8,0.080301071,0.008178001
2.9,0.077963295,0.008105378
3,0.075792493,0.008027524
