gamma,b,error
0.01,0.115787733789309,0.00480570386364455
0.012,0.10421855567612,0.00485101316233116
0.014,0.0936552212183488,0.00475295803935973
0.016,0.0841458451457472,0.00456606425429497
0.018,0.075628189515108,0.00433121644359295
0.02,0.0679978286527031,0.00407473354039024
0.022,0.0611410740563905,0.00381273017392905
0.024,0.0549518488367117,0.00355361329916853
0.026,0.0493366285030901,0.00330058363140676
0.028,0.0442162693581044,0.00305549040211873
0.03,0.0395246516096714,0.00281887001339744
0.032,0.0352065166455775,0.0025944522929843
0.034,0.0312157713048079,0.00238624370612523
0.036,0.0275095053244099,0.00219419857827619
0.038,0.0240511843477442,0.00201349405412165
0.04,0.0208093976936232,0.0018365730535495
0.042,0.0177585889811595,0.00166354360932089
0.044,0.0148845133072958,0.00150380094158301
0.046,0.0121787670089692,0.0013594361603564
0.048,0.00961464681117822,0.00122054471425716
0.05,0.00716695648128745,0.001081619119974
0.052,0.0048341966763921,0.000950069436999818
0.054,0.00262330153433109,0.000826722133578584
0.056,0.000508681885920305,0.000711901257646186
0.058,-0.0015339586285593,0.00059841717632348
0.06,-0.00348151669608949,0.000479398533547072
0.062,-0.00533760783086885,0.000383637749315612
0.064,-0.00714823691034139,0.000288759320208026
0.066,-0.0088721335438391,0.000180839380755169
0.068,-0.0105374203786358,0.000103180374582221
0.07,-0.0121418871908868,3.75053977678449e-05
0.072,-0.0137780841389923,0.000127830728414003
0.074,-0.0152065991486209,0.00018169645801229
0.076,-0.0166667387236988,0.000253377667968822
0.078,-0.018071153027282,0.000339604364090688
0.08,-0.019432791771355,0.000413972090079526
0.082,-0.0207638042892769,0.000489731782138861
0.084,-0.0220416178109208,0.000558281198126235
0.086,-0.0232926527609469,0.00063504278359585
0.088,-0.0244968548966225,0.000704259389566409
0.09,-0.0256817961148926,0.0007658662792813
0.092,-0.0268157724530631,0.000828911431552032
0.094,-0.0279354230363178,0.000902297866011842
0.096,-0.0290186181658019,0.000957985383063523
0.098,-0.0300649135847949,0.00100899632746314
0.1,-0.0310962958036008,0.00108250242181399
