alpha,S(L=152),S(L=200),S(L=400)
0.3,0.573111845940852,0.614861781802492,0.724561609915109
0.4,0.486959829961423,0.521235081149283,0.610565737560393
0.5,0.406171790173,0.433188509666348,0.503727715184293
0.6,0.331885094887412,0.352001491621538,0.404610549479403
0.7,0.265334857012543,0.279126892738156,0.315129786949175
0.8,0.207710800405749,0.216031560267875,0.237536567135508
0.9,0.159952153464015,0.163924004491941,0.173901524541747
1,0.122430536729175,0.123366189524068,0.125413759390201
1.1,0.0947255795231357,0.0939012330102474,0.0916126747741263
1.2,0.0755490038371023,0.0739985545500705,0.0701832125185675
1.3,0.063070628827227,0.0614537276971612,0.0577311172324845
1.4,0.0553849906880293,0.0540001941696631,0.0510065247439891
1.5,0.0508604077401446,0.0497968908606897,0.0476194588233245
1.6,0.0483123652873994,0.0475397631086039,0.0460507043586174
1.7,0.0469572603701012,0.046417646337911,0.045428313155462
1.8,0.0463003593268483,0.0459333898319392,0.0452893920044991
1.9,0.0460363994309535,0.0457897694651926,0.0453790714619481
2,0.0459952283940196,0.0458314646435618,0.0455713421017262
