gamma,S(L=152),S(L=200),S(L=400)
0.01,0.500851763322508,0.51563650909879,0.543411719888228
0.02,0.405444180291283,0.412347039727469,0.424921347399147
0.03,0.343055468920952,0.347132655818431,0.354498415973141
0.04,0.298215786846516,0.300883450570521,0.305681549350439
0.05,0.263860359840001,0.265698185359795,0.268991471621355
0.06,0.236397607484918,0.237696025863927,0.240013915190408
0.07,0.213781448763807,0.214706566301636,0.216350531940236
0.08,0.194746905763598,0.195401471156822,0.196558927254903
0.09,0.178458174056242,0.178911447565134,0.179706374770283
0.1,0.164337146611194,0.164636650392005,0.165155688889856
0.11,0.151967126367471,0.152147534121274,0.152452913250743
0.12,0.141037922338506,0.141124814140713,0.141263042100405
0.1286,0.132608930419509,0.132631248859881,0.132654303790708
0.13,0.131312538959169,0.131325457805239,0.131331864622166
0.14,0.122605732816524,0.122560001031282,0.122461818464149
0.15,0.114770216365073,0.114677715885562,0.114496303164496
0.16,0.10768645558393,0.107556599527788,0.107309190156311
0.17,0.101256609507703,0.101097105983555,0.100797241446643
0.18,0.0953992978243551,0.0952161916405159,0.0948749855514712
0.19,0.09004611888865,0.0898445151958969,0.089470945366909
0.2,0.0851393160308108,0.084923278089908,0.0845246153793537
